id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question about the SLA for P1 tickets.,5,Retrieved: 1/1 expected sources,5,Model answer covers all key points in the expected answer.,hybrid_rerank_query_expansion
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the retrieved context regarding the refund request timeframe.,5,The answer directly and completely addresses the question about the refund request timeframe.,5,Retrieved: 1/1 expected sources,5,The model answer fully covers all key points in the expected answer.,hybrid_rerank_query_expansion
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by specifying who must approve Level 3 access.,5,Retrieved: 1/1 expected sources,5,Model answer includes all key points from the expected answer.,hybrid_rerank_query_expansion
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi sản phẩm bị lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer accurately states that digital products are non-refundable unless they are defective, but it does not explicitly mention the 7-day requirement for refund requests.",5,The answer directly addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,3,The model answer mentions exceptions for defective products but does not clearly state that digital products are generally non-refundable.,hybrid_rerank_query_expansion
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question about account lockout after failed login attempts.,5,Retrieved: 1/1 expected sources,5,Model answer fully covers the key points in the expected answer.,hybrid_rerank_query_expansion
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer. Ngoài ra, trong trường hợp khẩn cấp, IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời, và mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1][2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the escalation process for P1 incidents.,5,Retrieved: 1/1 expected sources,5,Model answer covers all key points in the expected answer and provides additional relevant information.,hybrid_rerank_query_expansion
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu trước đây có tên ""Approval Matrix for System Access"" [2].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by providing the specific name of the document.,5,Retrieved: 1/1 expected sources,4,The model answer correctly identifies the previous name of the document but does not mention the current name 'Access Control SOP'.,hybrid_rerank_query_expansion
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information about remote work conditions for employees after the probation period as stated in the retrieved context.,5,The answer directly and completely addresses the question regarding the maximum number of remote work days per week.,5,Retrieved: 1/1 expected sources,5,Model answer covers all key points in the expected answer.,hybrid_rerank_query_expansion
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,The answer 'Tôi không biết' does not provide any information or claims that are supported by the retrieved context.,1,The answer does not provide any information about ERR-403-AUTH or how to handle it.,,No expected sources,1,The model answer does not provide any relevant information about the error or how to handle it.,hybrid_rerank_query_expansion
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin cụ thể nào về quy trình hoàn tiền khẩn cấp cho khách hàng VIP trong bối cảnh đã cung cấp. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,The answer accurately reflects that there is no information about an emergency refund process for VIP customers in the provided context.,1,The answer does not address the question at all and provides no relevant information.,5,Retrieved: 1/1 expected sources,3,The model answer does not mention the standard processing time of 3-5 business days for refund requests.,hybrid_rerank_query_expansion
